Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
1,2458654.3014848,6017700
2,2458654.30148618,5998000
3,2458654.30148619,6024100
4,2458654.30148688,5986000
5,2458654.3014873,5975400
6,2458654.30148806,5997800
7,2458654.30148836,5974100
8,2458654.30148897,5916600
9,2458654.30149013,5931700
10,2458654.30149018,6005600
11,2458654.30149076,5989300
12,2458654.30149133,5936200
13,2458654.30149194,5899900
14,2458654.30149305,5891400
15,2458654.30149313,5934000
16,2458654.30149373,5919000
17,2458654.30149431,5949600
18,2458654.3014949,5984600
19,2458654.30149603,5994900
20,2458654.30149616,5968700
21,2458654.30149669,5957400
22,2458654.30149729,5988100
23,2458654.30149787,5936800
24,2458654.30149892,5951900
25,2458654.30149908,5963000
26,2458654.30149966,5978500
27,2458654.30150029,5910500
28,2458654.30150086,5939600
29,2458654.30150243,5934000
30,2458654.30150247,5996200
31,2458654.30150264,5917800
32,2458654.30150324,5981300
33,2458654.30150383,5905000
34,2458654.3015049,5933100
35,2458654.30150501,5973500
36,2458654.3015056,5893200
37,2458654.30150619,5919500
38,2458654.30150681,5942900
39,2458654.30150775,5979600
40,2458654.30150799,5982100
41,2458654.30150857,5941700
42,2458654.30150918,5901600
43,2458654.30150976,5979800
44,2458654.30151064,5986600
45,2458654.30151096,5967200
46,2458654.30151155,5902900
47,2458654.30151215,5896200
48,2458654.30151273,5914000
49,2458654.30151362,5987900
50,2458654.30151393,5960100
51,2458654.30151453,6013000
52,2458654.30151513,6000700
53,2458654.30151571,5967500
54,2458654.30151667,5956000
55,2458654.3015169,5933500
56,2458654.3015175,5940100
57,2458654.30151808,5957100
58,2458654.30151868,5962500
59,2458654.30151956,5924400
60,2458654.30151987,5867800
61,2458654.30152047,5936400
62,2458654.30152107,5915000
63,2458654.30152167,5941800
64,2458654.3015225,5945500
65,2458654.30152285,5926000
66,2458654.30152345,5986000
67,2458654.30152403,5975100
68,2458654.30152463,5960400
69,2458654.30152542,6020200
70,2458654.30152581,5978500
71,2458654.30152641,5975600
72,2458654.301527,5951500
73,2458654.30152759,5944000
74,2458654.30152847,5972900
75,2458654.30152879,5978600
76,2458654.30152938,5997900
